iteration,global_sparsity,layer_name,zero_frac,zeros,total
3,0.1186648074898267,layers.7.conv1,0.0,0,24576
3,0.1186648074898267,layers.7.conv2,0.0,0,3456
3,0.1186648074898267,layers.7.conv3,0.171875,4224,24576
3,0.1186648074898267,layers.8.conv1,0.0,0,24576
3,0.1186648074898267,layers.8.conv2,0.0,0,3456
3,0.1186648074898267,layers.8.conv3,0.3125,7680,24576
3,0.1186648074898267,layers.9.conv1,0.0,0,24576
3,0.1186648074898267,layers.9.conv2,0.0,0,3456
3,0.1186648074898267,layers.9.conv3,0.359375,8832,24576
3,0.1186648074898267,layers.10.conv1,0.0,0,24576
3,0.1186648074898267,layers.10.conv2,0.0,0,3456
3,0.1186648074898267,layers.10.conv3,0.3229166666666667,11904,36864
3,0.1186648074898267,layers.10.shortcut.0,0.0,0,6144
3,0.1186648074898267,layers.11.conv1,0.0,0,55296
3,0.1186648074898267,layers.11.conv2,0.0,0,5184
3,0.1186648074898267,layers.11.conv3,0.3333333333333333,18432,55296
3,0.1186648074898267,layers.12.conv1,0.0,0,55296
3,0.1186648074898267,layers.12.conv2,0.0,0,5184
3,0.1186648074898267,layers.12.conv3,0.375,20736,55296
3,0.1186648074898267,layers.13.conv1,0.0,0,55296
3,0.1186648074898267,layers.13.conv2,0.0,0,5184
3,0.1186648074898267,layers.13.conv3,0.13125,12096,92160
3,0.1186648074898267,layers.14.conv1,0.0,0,153600
3,0.1186648074898267,layers.14.conv2,0.0,0,8640
3,0.1186648074898267,layers.14.conv3,0.31875,48960,153600
3,0.1186648074898267,layers.15.conv1,0.0,0,153600
3,0.1186648074898267,layers.15.conv2,0.0,0,8640
3,0.1186648074898267,layers.15.conv3,0.225,34560,153600
3,0.1186648074898267,layers.16.conv1,0.0,0,153600
3,0.1186648074898267,layers.16.conv2,0.0,0,8640
3,0.1186648074898267,layers.16.conv3,0.265625,81600,307200
3,0.1186648074898267,layers.16.shortcut.0,0.0,0,51200
3,0.1186648074898267,conv2,0.0359375,14720,409600
4,0.16072394069605303,conv1,0.0,0,864
4,0.16072394069605303,layers.0.conv1,0.0,0,1024
4,0.16072394069605303,layers.0.conv2,0.0,0,288
4,0.16072394069605303,layers.0.conv3,0.5625,288,512
4,0.16072394069605303,layers.0.shortcut.0,0.0,0,512
4,0.16072394069605303,layers.1.conv1,0.0,0,1536
4,0.16072394069605303,layers.1.conv2,0.0,0,864
4,0.16072394069605303,layers.1.conv3,0.125,288,2304
4,0.16072394069605303,layers.1.shortcut.0,0.0,0,384
4,0.16072394069605303,layers.2.conv1,0.0,0,3456
4,0.16072394069605303,layers.2.conv2,0.0,0,1296
4,0.16072394069605303,layers.2.conv3,0.16666666666666666,576,3456
4,0.16072394069605303,layers.3.conv1,0.0,0,3456
4,0.16072394069605303,layers.3.conv2,0.0,0,1296
4,0.16072394069605303,layers.3.conv3,0.0,0,4608
4,0.16072394069605303,layers.4.conv1,0.0,0,6144
4,0.16072394069605303,layers.4.conv2,0.0,0,1728
4,0.16072394069605303,layers.4.conv3,0.25,1536,6144
4,0.16072394069605303,layers.5.conv1,0.0,0,6144
4,0.16072394069605303,layers.5.conv2,0.0,0,1728
4,0.16072394069605303,layers.5.conv3,0.125,768,6144
4,0.16072394069605303,layers.6.conv1,0.0,0,6144
4,0.16072394069605303,layers.6.conv2,0.0,0,1728
4,0.16072394069605303,layers.6.conv3,0.0,0,12288
4,0.16072394069605303,layers.7.conv1,0.0,0,24576
4,0.16072394069605303,layers.7.conv2,0.0,0,3456
4,0.16072394069605303,layers.7.conv3,0.21875,5376,24576
4,0.16072394069605303,layers.8.conv1,0.0,0,24576
4,0.16072394069605303,layers.8.conv2,0.0,0,3456
4,0.16072394069605303,layers.8.conv3,0.34375,8448,24576
4,0.16072394069605303,layers.9.conv1,0.0,0,24576
4,0.16072394069605303,layers.9.conv2,0.0,0,3456
4,0.16072394069605303,layers.9.conv3,0.390625,9600,24576
4,0.16072394069605303,layers.10.conv1,0.0,0,24576
4,0.16072394069605303,layers.10.conv2,0.0,0,3456
4,0.16072394069605303,layers.10.conv3,0.3645833333333333,13440,36864
4,0.16072394069605303,layers.10.shortcut.0,0.0,0,6144
4,0.16072394069605303,layers.11.conv1,0.0,0,55296
4,0.16072394069605303,layers.11.conv2,0.0,0,5184
4,0.16072394069605303,layers.11.conv3,0.40625,22464,55296
4,0.16072394069605303,layers.12.conv1,0.0,0,55296
4,0.16072394069605303,layers.12.conv2,0.0,0,5184
4,0.16072394069605303,layers.12.conv3,0.40625,22464,55296
4,0.16072394069605303,layers.13.conv1,0.0,0,55296
4,0.16072394069605303,layers.13.conv2,0.0,0,5184
4,0.16072394069605303,layers.13.conv3,0.18125,16704,92160
4,0.16072394069605303,layers.14.conv1,0.0,0,153600
4,0.16072394069605303,layers.14.conv2,0.0,0,8640
4,0.16072394069605303,layers.14.conv3,0.40625,62400,153600
4,0.16072394069605303,layers.15.conv1,0.0,0,153600
4,0.16072394069605303,layers.15.conv2,0.0,0,8640
4,0.16072394069605303,layers.15.conv3,0.2625,40320,153600
4,0.16072394069605303,layers.16.conv1,0.0,0,153600
4,0.16072394069605303,layers.16.conv2,0.0,0,8640
4,0.16072394069605303,layers.16.conv3,0.425,130560,307200
4,0.16072394069605303,layers.16.shortcut.0,0.0,0,51200
4,0.16072394069605303,conv2,0.0640625,26240,409600
5,0.20062035798639766,conv1,0.0,0,864
5,0.20062035798639766,layers.0.conv1,0.0,0,1024
5,0.20062035798639766,layers.0.conv2,0.0,0,288
5,0.20062035798639766,layers.0.conv3,0.5625,288,512
5,0.20062035798639766,layers.0.shortcut.0,0.0,0,512
5,0.20062035798639766,layers.1.conv1,0.0,0,1536
5,0.20062035798639766,layers.1.conv2,0.0,0,864
5,0.20062035798639766,layers.1.conv3,0.125,288,2304
5,0.20062035798639766,layers.1.shortcut.0,0.0,0,384
5,0.20062035798639766,layers.2.conv1,0.0,0,3456
5,0.20062035798639766,layers.2.conv2,0.0,0,1296
5,0.20062035798639766,layers.2.conv3,0.16666666666666666,576,3456
